ID,Class,Enroll Count,Session,Meeting Days,Meeting Times,Room,Instructor
EENG2710_002,Digital Logic Design,56,08/19/2024 - 12/13/2024,Tuesday Thursday,10:00AM to 11:20AM,NTDP D201,"Derryberry,Roy Thomas"
EENG2710_003,Digital Logic Design,56,08/19/2024 - 12/13/2024,Monday Wednesday,1:00PM to 2:20PM,NTDP D201,"Zhan,Lei"
EENG2710_004,Digital Logic Design,56,08/19/2024 - 12/13/2024,Thursday,5:30PM to 8:20PM,NTDP D201,"Rohani,Shahram D"
EENG2710_005,Digital Logic Design,60,08/19/2024 - 12/13/2024,Monday Wednesday,4:00PM to 5:20PM,NTDP B140,"Zhan,Lei"
EENG2711_001,Digital Logic Design Lab,30,08/19/2024 - 12/13/2024,Wednesday,5:30PM to 8:20PM,NTDP B288,"Kougianos,Elias"
EENG2711_002,Digital Logic Design Lab,30,08/19/2024 - 12/13/2024,Tuesday,5:30PM to 8:20PM,NTDP B288,"Kougianos,Elias"
EENG2711_003,Digital Logic Design Lab,21,08/19/2024 - 12/13/2024,Monday,10:00AM to 12:50PM,NTDP B288,"Kougianos,Elias"
EENG2711_004,Digital Logic Design Lab,22,08/19/2024 - 12/13/2024,Wednesday,10:00AM to 12:50PM,NTDP B207,"Kougianos,Elias"
EENG2905_001,Engineering Tools,33,08/19/2024 - 12/13/2024,Tuesday Thursday,4:00PM to 5:20PM,NTDP B227,"Bailey,Colleen Paige"
EENG2920_001,Analog and Digital Circuit Design Project,32,08/19/2024 - 12/13/2024,Wednesday,1:00PM to 3:50PM,NTDP B207,"Acevedo,Miguel F"
EENG3410_001,Engineering Electromagnetics,33,08/19/2024 - 12/13/2024,Tuesday Thursday,1:00PM to 2:20PM,NTDP B190,"An,Sensong"
EENG3411_001,Engineering Electromagnetics Lab,31,08/19/2024 - 12/13/2024,Monday,5:30PM to 8:20PM,NTDP B288,"An,Sensong"
EENG3510_001,Electronics I (Devices and Materials),55,08/19/2024 - 12/13/2024,Tuesday Thursday,2:30PM to 3:50PM,NTDP B227,"Kim,Jungkwun"
EENG3511_001,Electronics I Lab,32,08/19/2024 - 12/13/2024,Wednesday,10:00AM to 12:50PM,NTDP B288,"Kim,Jungkwun"
EENG3520_001,Electronics II,27,08/19/2024 - 12/13/2024,Monday Wednesday,11:30AM to 12:50PM,NTDP D201,"Wang,Shuping"
EENG3710_001,Computer Organization,20,08/19/2024 - 12/13/2024,Monday Wednesday,10:00AM to 11:20AM,NTDP B142,"Guturu,Parthasarathy"
EENG3810_001,Communications Systems,27,08/19/2024 - 12/13/2024,Tuesday Thursday,2:30PM to 3:50PM,NTDP B140,"Namuduri,Kamesh"
EENG3811_001,Communication Systems Lab,28,08/19/2024 - 12/13/2024,Monday,5:30PM to 8:20PM,NTDP B227,"Namuduri,Kamesh"
EENG3910_001,Embedded System Design Project,21,08/19/2024 - 12/13/2024,Monday,1:00PM to 3:50PM,NTDP B288,"Li,Xinrong"
EENG3920_001,Modern Communication System Design Project,29,08/19/2024 - 12/13/2024,Thursday,10:00AM to 12:50PM,NTDP B288,"Wang,Shuping"
EENG4010_007,Topics in Electrical Engineering,3,08/19/2024 - 12/13/2024,Tuesday Thursday,2:30PM to 3:50PM,NTDP K120,"Wang,Shuping"
EENG4310_001,Control Systems Design,14,08/19/2024 - 12/13/2024,Tuesday Thursday,1:00PM to 2:20PM,NTDP E265,"Guturu,Parthasarathy"
EENG4350_001,Renewable Electrical Power Systems,14,08/19/2024 - 12/13/2024,Monday Wednesday,10:00AM to 11:20AM,NTDP B227,"Acevedo,Miguel F"
EENG4510_001,Digital Communications,7,08/19/2024 - 12/13/2024,Tuesday Thursday,1:00PM to 2:20PM,NTDP B227,"Derryberry,Roy Thomas"
EENG4580_001,Power Electronics,19,08/19/2024 - 12/13/2024,Tuesday Thursday,11:30AM to 12:50PM,NTDP B190,"Siu,King man"
EENG4610_001,Digital Signal Processing,0,08/19/2024 - 12/13/2024,Monday Wednesday,10:00AM to 11:20AM,NTDP E265,"Derryberry,Roy Thomas"
EENG4710_001,VLSI Design,19,08/19/2024 - 12/13/2024,Monday Wednesday,11:30AM to 12:50PM,NTDP B227,"Mehta,Gayatri"
EENG4740_001,Digital Circuit Design Techniques,10,08/19/2024 - 12/13/2024,Tuesday Thursday,4:00PM to 5:20PM,NTDP B140,"Kougianos,Elias"
EENG4850_001,Computer Vision & Image Analysis,18,08/19/2024 - 12/13/2024,Monday Wednesday,4:00PM to 5:20PM,NTDP E265,"Guturu,Parthasarathy"
EENG4910_001,Senior Design I,31,08/19/2024 - 12/13/2024,Monday,2:30PM to 3:50PM,NTDP B242,"Mehta,Gayatri"
EENG4990_001,Senior Design II,10,08/19/2024 - 12/13/2024,Wednesday,2:30PM to 3:50PM,NTDP B242,"Fu,Shengli"
